candidate_id,family,config,threshold,rows,positive_rows,prevalence,precision,recall,f1,pr_auc,roc_auc,brier,tn,fp,fn,tp,is_selected_threshold
logistic_default,logistic_regression,class_weight=None,0.61,484,76,0.15702479338842976,0.803921568627451,0.5394736842105263,0.6456692913385826,0.7507669750470208,0.9307275541795665,0.07046530779424537,398,10,35,41,False
logistic_default,logistic_regression,class_weight=None,0.62,484,76,0.15702479338842976,0.803921568627451,0.5394736842105263,0.6456692913385826,0.7507669750470208,0.9307275541795665,0.07046530779424537,398,10,35,41,False
logistic_default,logistic_regression,class_weight=None,0.63,484,76,0.15702479338842976,0.803921568627451,0.5394736842105263,0.6456692913385826,0.7507669750470208,0.9307275541795665,0.07046530779424537,398,10,35,41,False
logistic_default,logistic_regression,class_weight=None,0.64,484,76,0.15702479338842976,0.8,0.5263157894736842,0.6349206349206349,0.7507669750470208,0.9307275541795665,0.07046530779424537,398,10,36,40,False
logistic_default,logistic_regression,class_weight=None,0.65,484,76,0.15702479338842976,0.7916666666666666,0.5,0.6129032258064516,0.7507669750470208,0.9307275541795665,0.07046530779424537,398,10,38,38,False
logistic_default,logistic_regression,class_weight=None,0.66,484,76,0.15702479338842976,0.8,0.47368421052631576,0.5950413223140496,0.7507669750470208,0.9307275541795665,0.07046530779424537,399,9,40,36,False
logistic_default,logistic_regression,class_weight=None,0.67,484,76,0.15702479338842976,0.8181818181818182,0.47368421052631576,0.6,0.7507669750470208,0.9307275541795665,0.07046530779424537,400,8,40,36,False
logistic_default,logistic_regression,class_weight=None,0.68,484,76,0.15702479338842976,0.8181818181818182,0.47368421052631576,0.6,0.7507669750470208,0.9307275541795665,0.07046530779424537,400,8,40,36,False
logistic_default,logistic_regression,class_weight=None,0.69,484,76,0.15702479338842976,0.8372093023255814,0.47368421052631576,0.6050420168067226,0.7507669750470208,0.9307275541795665,0.07046530779424537,401,7,40,36,False
logistic_default,logistic_regression,class_weight=None,0.7,484,76,0.15702479338842976,0.8205128205128205,0.42105263157894735,0.5565217391304348,0.7507669750470208,0.9307275541795665,0.07046530779424537,401,7,44,32,False
logistic_default,logistic_regression,class_weight=None,0.71,484,76,0.15702479338842976,0.8378378378378378,0.40789473684210525,0.5486725663716814,0.7507669750470208,0.9307275541795665,0.07046530779424537,402,6,45,31,False
logistic_default,logistic_regression,class_weight=None,0.72,484,76,0.15702479338842976,0.8378378378378378,0.40789473684210525,0.5486725663716814,0.7507669750470208,0.9307275541795665,0.07046530779424537,402,6,45,31,False
logistic_default,logistic_regression,class_weight=None,0.73,484,76,0.15702479338842976,0.8378378378378378,0.40789473684210525,0.5486725663716814,0.7507669750470208,0.9307275541795665,0.07046530779424537,402,6,45,31,False
logistic_default,logistic_regression,class_weight=None,0.74,484,76,0.15702479338842976,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.7507669750470208,0.9307275541795665,0.07046530779424537,402,6,46,30,False
logistic_default,logistic_regression,class_weight=None,0.75,484,76,0.15702479338842976,0.8529411764705882,0.3815789473684211,0.5272727272727272,0.7507669750470208,0.9307275541795665,0.07046530779424537,403,5,47,29,False
logistic_default,logistic_regression,class_weight=None,0.76,484,76,0.15702479338842976,0.8484848484848485,0.3684210526315789,0.5137614678899083,0.7507669750470208,0.9307275541795665,0.07046530779424537,403,5,48,28,False
logistic_default,logistic_regression,class_weight=None,0.77,484,76,0.15702479338842976,0.8387096774193549,0.34210526315789475,0.48598130841121495,0.7507669750470208,0.9307275541795665,0.07046530779424537,403,5,50,26,False
logistic_default,logistic_regression,class_weight=None,0.78,484,76,0.15702479338842976,0.8387096774193549,0.34210526315789475,0.48598130841121495,0.7507669750470208,0.9307275541795665,0.07046530779424537,403,5,50,26,False
logistic_default,logistic_regression,class_weight=None,0.79,484,76,0.15702479338842976,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.7507669750470208,0.9307275541795665,0.07046530779424537,404,4,52,24,False
logistic_default,logistic_regression,class_weight=None,0.8,484,76,0.15702479338842976,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.7507669750470208,0.9307275541795665,0.07046530779424537,404,4,52,24,False
logistic_default,logistic_regression,class_weight=None,0.81,484,76,0.15702479338842976,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.7507669750470208,0.9307275541795665,0.07046530779424537,404,4,52,24,False
logistic_default,logistic_regression,class_weight=None,0.82,484,76,0.15702479338842976,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.7507669750470208,0.9307275541795665,0.07046530779424537,404,4,52,24,False
logistic_default,logistic_regression,class_weight=None,0.83,484,76,0.15702479338842976,0.8518518518518519,0.3026315789473684,0.44660194174757284,0.7507669750470208,0.9307275541795665,0.07046530779424537,404,4,53,23,False
logistic_default,logistic_regression,class_weight=None,0.84,484,76,0.15702479338842976,0.88,0.2894736842105263,0.43564356435643564,0.7507669750470208,0.9307275541795665,0.07046530779424537,405,3,54,22,False
logistic_default,logistic_regression,class_weight=None,0.85,484,76,0.15702479338842976,0.875,0.27631578947368424,0.42,0.7507669750470208,0.9307275541795665,0.07046530779424537,405,3,55,21,False
logistic_default,logistic_regression,class_weight=None,0.86,484,76,0.15702479338842976,0.9130434782608695,0.27631578947368424,0.42424242424242425,0.7507669750470208,0.9307275541795665,0.07046530779424537,406,2,55,21,False
logistic_default,logistic_regression,class_weight=None,0.87,484,76,0.15702479338842976,0.9090909090909091,0.2631578947368421,0.40816326530612246,0.7507669750470208,0.9307275541795665,0.07046530779424537,406,2,56,20,False
logistic_default,logistic_regression,class_weight=None,0.88,484,76,0.15702479338842976,0.9473684210526315,0.23684210526315788,0.37894736842105264,0.7507669750470208,0.9307275541795665,0.07046530779424537,407,1,58,18,False
logistic_default,logistic_regression,class_weight=None,0.89,484,76,0.15702479338842976,0.9473684210526315,0.23684210526315788,0.37894736842105264,0.7507669750470208,0.9307275541795665,0.07046530779424537,407,1,58,18,False
logistic_default,logistic_regression,class_weight=None,0.9,484,76,0.15702479338842976,0.9375,0.19736842105263158,0.32608695652173914,0.7507669750470208,0.9307275541795665,0.07046530779424537,407,1,61,15,False
logistic_default,logistic_regression,class_weight=None,0.91,484,76,0.15702479338842976,0.9333333333333333,0.18421052631578946,0.3076923076923077,0.7507669750470208,0.9307275541795665,0.07046530779424537,407,1,62,14,False
logistic_default,logistic_regression,class_weight=None,0.92,484,76,0.15702479338842976,0.9230769230769231,0.15789473684210525,0.2696629213483146,0.7507669750470208,0.9307275541795665,0.07046530779424537,407,1,64,12,False
