candidate_id,family,feature_set,fold,train_end,validation_end,train_rows,validation_rows,validation_positives,fit_seconds,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
rf_none_leaf4_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,13.801594699994894,0.2599999999999999,0.986126224156692,0.7159090909090909,0.7078651685393258,0.711864406779661,0.9919559708435267,0.7831128824797393,0.010842892200316895
rf_none_leaf4_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,7.643184500004281,0.3799999999999999,0.9931640625,0.7560975609756098,0.7380952380952381,0.7469879518072289,0.9961889046047462,0.7656837203764737,0.005581794773591465
rf_none_leaf4_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,9.456526299996767,0.34999999999999987,0.9905245346869712,0.8,0.6153846153846154,0.6956521739130435,0.9890431648957312,0.747826167802199,0.008425359382591362
rf_none_leaf4_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,11.556545899991761,0.2599999999999999,0.9863982589771491,0.7241379310344828,0.7078651685393258,0.7159090909090909,0.9920937968882638,0.786419952512827,0.010818420304571943
rf_balanced_leaf1_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,4.066126100005931,0.3599999999999999,0.9928385416666666,0.7,0.8333333333333334,0.7608695652173914,0.9963382052490963,0.7178032601726626,0.005762701822916667
rf_balanced_leaf1_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,5.277761499994085,0.33999999999999986,0.9905245346869712,0.75,0.6923076923076923,0.72,0.9843961154243621,0.7865105010684217,0.007442214551607446
rf_balanced_leaf1_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,6.194166699991911,0.3699999999999999,0.984766050054407,0.6542056074766355,0.7865168539325843,0.7142857142857143,0.9935722944590797,0.7855689045377208,0.009936954298150164
rf_balanced_leaf1_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,4.193279899991467,0.6199999999999998,0.9915364583333334,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.9949237780920949,0.6226655408430757,0.007805039599555319
rf_balanced_leaf1_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,4.907572900003288,0.5299999999999998,0.9905245346869712,0.74,0.7115384615384616,0.7254901960784313,0.983664114046477,0.7638933317744716,0.007938189060008736
rf_balanced_leaf1_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,6.109638399997493,0.5299999999999998,0.9820457018498367,0.5891472868217055,0.8539325842696629,0.6972477064220184,0.9924383620001065,0.7394669848218263,0.013171103385835839
rf_balanced_leaf2_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,3.985053099997458,0.5299999999999998,0.9931640625,0.723404255319149,0.8095238095238095,0.7640449438202247,0.9963696369636964,0.720581171099572,0.006157236484132821
